Provinsi,Kasus_Positif
Aceh,10814
Sumatera Utara,29198
Sumatera Barat,36268
Riau,42698
Jambi,7407
Sumatera Selatan,20068
Bengkulu,6630
Bangka Belitung,12822
Lampung,10838
Kepulauan Riau,9381
DKI Jakarta,406205
Jawa Barat,277553
Jawa Tengah,183027
Daerah Istimewa Yogyakarta,38703
Jawa Timur,146808
Banten,47101
Bali,44236
Nusa Tenggara Barat,10291
Nusa Tenggara Timur,14200
Kalimantan Barat,7503
Kalimantan Tengah,19780
Kalimantan Selatan,32612
Kalimantan Timur,68136
Kalimantan Utara,11702
Sulawesi Utara,15638
Sulawesi Tengah,12125
Sulawesi Selatan,61419
Sulawesi Tenggara,10396
Gorontalo,5355
Sulawesi Barat,5443
Maluku,7515
Maluku Utara,4414
Papua,20308
Papua Barat,8879
